AVG,OBP,SLG,OPS,BB%,K%,ISO,LD%,Pull%,EV,LA,Barrel%,HardHit%,maxEV,Contact%,HR,R,RBI
0.273,0.354058721,0.515686274,0.869744995,0.10880829,0.271157167,0.243137255,0.185393258,0.37921348,95.10109641,10.27815593,0.15730337,0.55617978,122.214,0.70335821,35,64,97
0.272,0.317567567,0.382084095,0.699651662,0.06081081,0.170608108,0.109689214,0.22172949,0.34292035,85.05180328,14.3905124,0.02433628,0.24115044,106.141,0.82142857,11,66,67
0.272,0.311475409,0.476038338,0.787513747,0.053651266,0.275707898,0.204472843,0.219239373,0.4787472,88.93517026,14.36075116,0.10290828,0.4295302,111.207,0.66593407,29,79,106
0.272,0.322957198,0.35775862,0.680715818,0.073786407,0.22330097,0.086206896,0.245810055,0.33055556,91.8312445,6.134584224,0.03888889,0.50555556,110.019,0.82042254,4,59,50
0.271,0.356390977,0.463917525,0.820308502,0.102255639,0.209022556,0.192439862,0.194630872,0.43624161,88.71607823,15.34923657,0.06711409,0.37136465,110.554,0.78316327,23,74,86
0.271,0.351824817,0.517587939,0.869412756,0.097810218,0.186861313,0.246231156,0.198744769,0.44769874,89.79487284,18.2202271,0.12343096,0.44560669,116.542,0.7856,40,95,131
0.271,0.348508634,0.34751773,0.696026364,0.105015673,0.189655172,0.076241135,0.257336343,0.28794643,87.0881331,11.92079555,0.01339286,0.25892857,109.772,0.88566073,4,86,48
0.271,0.308571428,0.453441295,0.762012723,0.053333333,0.198095238,0.182186235,0.19132653,0.31043257,92.21289565,13.17541347,0.07379135,0.48346056,113.114,0.80979499,15,65,61
0.271,0.309197651,0.391304347,0.700501998,0.04109589,0.146771037,0.120082815,0.234718826,0.38141809,85.35479118,11.33080316,0.03422983,0.28361858,110.162,0.83153771,9,65,48
0.271,0.351437699,0.443447037,0.794884736,0.103833865,0.215654952,0.172351885,0.263657957,0.42180095,88.72271192,12.63056826,0.09004739,0.39099526,111.009,0.78081059,16,75,67
0.271,0.312130177,0.357480314,0.669610491,0.041358936,0.132939438,0.086614173,0.201096892,0.34854015,85.45649468,5.361568241,0.01824818,0.28649635,107.929,0.86894075,8,74,53
0.271,0.371471025,0.539823008,0.911294033,0.1307578,0.167904903,0.269026548,0.164502164,0.40388769,91.59852712,16.16900978,0.12742981,0.4838013,115.263,0.78554958,39,101,111
0.271,0.315094339,0.416161616,0.731255955,0.041509433,0.226415094,0.145454546,0.21081081,0.47745358,85.9446703,10.83640593,0.04774536,0.33687003,110.463,0.79633401,14,63,49
